url,written,written_human_readable,origin
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/A1cf/24325_K24230_FColon.zarr,15659827200,14.6 GiB,https://images.jax.org/webclient/?show=image-11164
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/Dnajc7/22416_K41817_FSalvTrach.zarr,14376960000,13.4 GiB,https://images.jax.org/webclient/?show=image-8502
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/Moxd1/23420_K35061_FGut.zarr,18617794560,17.3 GiB,https://images.jax.org/webclient/?show=image-2188
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/omero/Tmem129/28604_J49854_FGut.zarr,18048614400,16.8 GiB,https://images.jax.org/webclient/?show=image-10116
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/Spi1/26634_K88315_FBrainEye.zarr,18008801280,16.8 GiB,https://images.jax.org/webclient/?show=image-2050
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/Grcc10/26544_J21458_FHMS.zarr,14789836800,13.8 GiB,https://images.jax.org/webclient/?show=image-1138
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/old_omero2/28811_J57333_MScBfBone.zarr,15907553280,14.8 GiB,https://images.jax.org/webclient/?show=image-131715
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/Ube2m/24027_K19862_FOvUT.zarr,8730869760,8.1 GiB,https://images.jax.org/webclient/?show=image-8999
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/Cep295nl/24155_K53432_MSalvTrach.zarr,15050833920,14.0 GiB,https://images.jax.org/webclient/?show=image-6391
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/Rab43/23059_K15752_FHMS.zarr,15549235200,14.5 GiB,https://images.jax.org/webclient/?show=image-7682
