url,written,written_human_readable,origin
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1851/whitej_205/2020-10/28/12-38-38.406/K99691_10.zarr,15925248000,14.8 GiB,https://images.jax.org/webclient/?show=image-176894
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1585/whitej_205/2020-08/18/17-01-57.280/KOMP_C8565_9.zarr,10321920000,9.6 GiB,https://images.jax.org/webclient/?show=image-174223
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2039/whitej_205/2020-12/16/15-12-45.871/X11639_1.zarr,19110297600,17.8 GiB,https://images.jax.org/webclient/?show=image-166561
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2971/whitej_205/2021-09/10/14-19-26.011/C361_9.zarr,11054776320,10.3 GiB,https://images.jax.org/webclient/?show=image-185482
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2957/whitej_205/2021-08/19/15-29-23.322/X54803_10.zarr,9574318080,8.9 GiB,https://images.jax.org/webclient/?show=image-185381
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1607/whitej_205/2020-12/16/14-56-33.704/K33012_9.zarr,12788858880,11.9 GiB,https://images.jax.org/webclient/?show=image-175844
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2023/whitej_205/2020-12/16/15-03-15.098/K70627_2.zarr,9059696640,8.4 GiB,https://images.jax.org/webclient/?show=image-166423
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1487/whitej_205/2020-08/18/13-43-56.137/KOMP_C8944_4.zarr,8891596800,8.3 GiB,https://images.jax.org/webclient/?show=image-165329
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2905/whitej_205/2021-07/26/12-13-10.398/X35145_10.zarr,10579968000,9.9 GiB,https://images.jax.org/webclient/?show=image-184398
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1589/whitej_205/2020-08/18/17-11-18.732/KOMP_C9863_10-1.zarr,6710722560,6.2 GiB,https://images.jax.org/webclient/?show=image-174722
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1545/whitej_205/2020-08/18/15-45-07.426/KOMP_A31513-3.zarr,8873902080,8.3 GiB,https://images.jax.org/webclient/?show=image-172107
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1577/whitej_205/2020-08/18/16-43-15.100/KOMP_C10385_8.zarr,8121876480,7.6 GiB,https://images.jax.org/webclient/?show=image-173397
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1528/whitej_205/2021-01/05/12-28-26.587/J65499_7.zarr,4453171200,4.1 GiB,https://images.jax.org/webclient/?show=image-186524
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1542/whitej_205/2020-08/18/15-39-55.433/KOMP_K24202_4.zarr,11209605120,10.4 GiB,https://images.jax.org/webclient/?show=image-171940
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1528/whitej_205/2020-08/18/15-17-00.157/KOMP_16439_20120726F-1_15.zarr,7638220800,7.1 GiB,https://images.jax.org/webclient/?show=image-186719
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2099/whitej_205/2021-01/28/17-03-48.681/J75051_9.zarr,13315276800,12.4 GiB,https://images.jax.org/webclient/?show=image-180556
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1573/whitej_205/2020-08/18/16-33-38.939/KOMP_K2755_8.zarr,11744870400,10.9 GiB,https://images.jax.org/webclient/?show=image-172991
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2957/whitej_205/2021-08/19/15-29-29.827/X54803_1.zarr,13362462720,12.4 GiB,https://images.jax.org/webclient/?show=image-185311
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1846/whitej_205/2021-05/05/08-06-45.313/K88679_4.zarr,10351411200,9.6 GiB,https://images.jax.org/webclient/?show=image-176723
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1519/whitej_205/2020-08/18/14-46-23.366/KOMP_C11087_1.zarr,16597647360,15.5 GiB,https://images.jax.org/webclient/?show=image-170663
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1589/whitej_205/2020-08/18/17-11-37.871/KOMP_A35122_1.zarr,13077872640,12.2 GiB,https://images.jax.org/webclient/?show=image-174652
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1487/whitej_205/2020-08/18/13-46-05.931/KOMP_C8944_6.zarr,8822292480,8.2 GiB,https://images.jax.org/webclient/?show=image-165379
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2902/whitej_205/2021-07/26/12-17-47.267/X4983_7.zarr,11777310720,11.0 GiB,https://images.jax.org/webclient/?show=image-183986
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1599/whitej_205/2020-08/18/17-30-25.087/KOMP_A24680_7.zarr,8620277760,8.0 GiB,https://images.jax.org/webclient/?show=image-175426
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1496/whitej_205/2020-08/18/14-02-12.498/KOMP_C10021-7.zarr,10529832960,9.8 GiB,https://images.jax.org/webclient/?show=image-169304
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2817/whitej_205/2021-07/07/09-57-50.522/R32680_8.zarr,10177413120,9.5 GiB,https://images.jax.org/webclient/?show=image-182478
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1512/whitej_205/2020-08/18/14-35-07.271/KOMP_C9561_8.zarr,7431782400,6.9 GiB,https://images.jax.org/webclient/?show=image-166820
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1524/whitej_205/2020-08/18/14-57-19.579/CN14_KOMPK348_6.zarr,12272762880,11.4 GiB,https://images.jax.org/webclient/?show=image-171185
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1537/whitej_205/2020-08/18/15-33-08.393/KOMP_K22951_2.zarr,5202247680,4.8 GiB,https://images.jax.org/webclient/?show=image-171682
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2711/whitej_205/2021-07/26/12-25-13.675/X61180_10.zarr,10510663680,9.8 GiB,https://images.jax.org/webclient/?show=image-181321
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2816/whitej_205/2021-07/07/09-55-18.776/R32544_1.zarr,12781486080,11.9 GiB,https://images.jax.org/webclient/?show=image-182374
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2075/whitej_205/2021-01/26/11-00-45.778/J51297_1.zarr,15288238080,14.2 GiB,https://images.jax.org/webclient/?show=image-178798
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1489/whitej_205/2020-08/18/13-49-55.273/K93396_1.zarr,15566929920,14.5 GiB,https://images.jax.org/webclient/?show=image-164537
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1566/whitej_205/2020-08/18/16-20-48.645/KOMP_A31270_10.zarr,15146680320,14.1 GiB,https://images.jax.org/webclient/?show=image-167734
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2825/whitej_205/2021-07/07/10-55-22.834/X76049_4.zarr,13536460800,12.6 GiB,https://images.jax.org/webclient/?show=image-183457
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2087/whitej_205/2021-01/26/09-53-07.333/X43538_2.zarr,11666718720,10.9 GiB,https://images.jax.org/webclient/?show=image-180148
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2007/whitej_205/2020-12/02/16-21-16.734/K11210_5.zarr,10652221440,9.9 GiB,https://images.jax.org/webclient/?show=image-165828
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1514/whitej_205/2020-08/18/14-39-42.769/KOMP_K15791_6.zarr,15482880000,14.4 GiB,https://images.jax.org/webclient/?show=image-170395
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2075/whitej_205/2021-01/26/09-54-30.011/J51286_10.zarr,9028730880,8.4 GiB,https://images.jax.org/webclient/?show=image-178696
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1564/whitej_205/2020-08/18/16-17-07.370/KOMP_C10257-6.zarr,13188464640,12.3 GiB,https://images.jax.org/webclient/?show=image-167567
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1593/whitej_205/2020-08/18/17-17-28.747/KOMP_K3602_2.zarr,14623211520,13.6 GiB,https://images.jax.org/webclient/?show=image-174897
